id,status,wfo,ident,name,city,state,latitude_deg,longitude_deg
57,FLT,BTV,KMPV,Edward F Knapp State Airport,Barre/Montpelier,VT,44.20349884,-72.56230164
58,OPR,BTV,KMSS,Massena International Airport Richards Field,Massena,VT,44.936157,-74.844304
59,OPR,BTV,KMVL,Morrisville-Stowe State Airport,Morrisville,VT,44.534599,-72.613998
60,OPR,BTV,KPBG,Plattsburgh International Airport,Plattsburgh,NY,44.65090179,-73.4681015
61,OPR,BTV,KSLK,Adirondack Regional Airport,Saranac Lake,NY,44.38691,-74.204629
62,OPR,BTV,KVSF,Hartness State Airport,North Springfield,VT,43.343601,-72.517303
63,OPR,BTV,K1V4,Fairbanks Museum,St. Johnsbury,VT,44.42,-72.0208
64,OPR,CAE,KAGS,Augusta Regional At Bush Field,Augusta,GA,-81.9645,-81.9644
65,OPR,CAE,KCAE,Columbia Metropolitan Airport,Columbia,SC,33.938801,-81.119499
66,OPR,CAE,KCUB,Jim Hamilton L.B. Owens Airport,Columbia,SC,33.97050095,-80.99520111
67,OPR,CAE,KDNL,Daniel Field,Augusta,GA,33.4664,-82.0394
68,OPR,CAE,KOGB,Orangeburg Municipal Airport,Orangeburg,SC,33.45679855,-80.85949707
69,OPR,CAR,KBGR,Bangor International Airport,Bangor,ME,44.8074,-68.828102
70,OPR,CAR,KCAR,Caribou Municipal Airport,Caribou,ME,46.871498,-68.017899
71,OPR,CAR,KFVE,Northern Aroostook Regional Airport,Frenchville,ME,47.28549957,-68.31279755
72,OPR,CAR,KGNR,OPRville Municipal Airport,OPRville ,ME,45.4625,-69.5522
73,OPR,CAR,KHUL,Houlton International Airport,Houlton,ME,46.12310028,-67.792099
74,OPR,CAR,KMLT,Millinocket Municipal Airport,Millinocket,ME,45.64780045,-68.68560028
75,OPR,CHS,KCHS,Charleston International Airport,Charleston,SC,32.898602,-80.040497
76,OPR,CHS,KSAV,Savannah Hilton Head International Airport,Savannah,GA,32.1275,-81.2019
77,OPR,CLE,KAKR,Akron Executive Airport,Akron,OH,41.037498,-81.466904
78,OPR,CLE,KBJJ,Wayne County Airport,Wooster,OH,40.87480164,-81.88829803
79,OPR,CLE,KBKL,Burke Lakefront Airport,Cleveland,OH,41.51750183,-81.6832962
80,OPR,CLE,KCAK,Akron Canton Regional Airport,Akron,OH,40.91609955,-81.44219971
81,OPR,CLE,KCLE,Cleveland Hopkins International Airport,Cleveland,OH,41.4117012,-81.84980011
82,OPR,CLE,KERI,Erie International Tom Ridge Field,Erie,PA,42.083127,-80.173867
83,OPR,CLE,KFDY,Findlay Airport,Findlay,OH,41.01350021,-83.66870117
84,OPR,CLE,KGKJ,Port Meadville Airport,Meadville,PA,41.626499,-80.214699
85,OPR,CLE,KHZY,Northeast Ohio Regional Airport,Ashtabula,OH,41.778,-80.695503
86,OPR,CLE,KLPR,Lorain County Regional Airport,Lorain/Elyria,OH,41.34429932,-82.17759705
87,OPR,CLE,KMFD,Mansfield Lahm Regional Airport,Mansfield,OH,40.82139969,-82.51660156
88,OPR,CLE,KMNN,Marion Municipal Airport,Marion,OH,40.61619949,-83.06349945
89,OPR,CLE,KTDZ,Toledo Executive Airport,Toledo,OH,41.56489944,-83.4822998
90,OPR,CLE,KTOL,Eugene F. Kranz Toledo Express Airport,Toledo,OH,41.5868,-83.8078
91,OPR,CLE,KYNG,Youngstown Warren Regional Airport,Youngstown/Warren,OH,41.26070023,-80.67910004
92,OPR,CTP,KAOO,Altoona Blair County Airport,Altoona,PA,40.296398,-78.32
93,OPR,CTP,KBFD,Bradford Regional Airport,Bradford,PA,41.80310059,-78.64009857
94,OPR,CTP,KCXY,Capital City Airport,Harrisburg,PA,40.21709824,-76.85150146
95,OPR,CTP,KFIG,Clearfield Lawrence Airport,Clearfield,PA,41.049032,-78.415003
96,OPR,CTP,KIPT,Williamsport Regional Airport,Williamsport,PA,41.2417984,-76.9210968
97,OPR,CTP,KJST,John Murtha Johnstown Cambria County Airport,Johnstown,PA,40.31610107,-78.83390045
98,OPR,CTP,KLNS,Lancaster Airport,Lancaster,PA,40.12170029,-76.2960968
99,OPR,CTP,KMDT,Harrisburg International Airport,Harrisburg,PA,40.193501,-76.763397
100,OPR,CTP,KSEG,Penn Valley Airport,Selinsgrove,PA,40.8205986,-76.86389923
101,OPR,CTP,KTHV,York Airport,Thomasville,PA,39.917,-76.873001
102,OPR,GSP,KAND,Anderson Regional Airport,Anderson,SC,34.49459839,-82.70939636
103,OPR,GSP,KAKH,Gastonia Municipal Airport,Gastonia,NC,35.202598,-81.149902
104,OPR,GSP,KAVL,Asheville Regional Airport,Asheville,NC,35.436199,-82.541801
105,OPR,GSP,KCEU,Oconee County Regional Airport,Clemson,SC,34.6719017,-82.8864975
106,OPR,GSP,KCLT,Charlotte Douglas International Airport,Charlotte,NC,35.2140007,-80.94309998
107,OPR,GSP,KEQY,Charlotte-Monroe Executive Airport,Monroe,NC,35.01879883,-80.62020111
108,OPR,GSP,KGMU,OPRville Downtown Airport,OPRville,SC,34.847903,-82.350217
109,OPR,GSP,KGRD,OPRwood County Airport,OPRwood,SC,34.24869919,-82.15910339
110,OPR,GSP,KGSP,OPRville Spartanburg International Airport,Greer,SC,34.895699,-82.218903
111,OPR,GSP,KHKY,Hickory Regional Airport,Hickory,NC,35.74110031,-81.38950348
112,OPR,GSP,KUZA,Rock Hill - York County Airport,Rock Hill,SC,34.9878006,-81.05719757
113,OPR,GYX,KAFN,Jaffrey Airfield Silver Ranch Airport,Jaffrey,NH,42.805099,-72.002998
114,OPR,GYX,KAUG,Augusta State Airport,Augusta,ME,44.3205986,-69.79730225
115,OPR,GYX,KBML,Berlin Regional Airport,Berlin,NH,44.57540131,-71.17590332
116,OPR,GYX,KCON,Concord Municipal Airport,Concord,NH,43.20270157,-71.50229645
117,OPR,GYX,KDAW,Skyhaven Airport,Rochester,NH,43.28409958,-70.9292984
118,OPR,GYX,KHIE,Mount Washington Regional Airport,Whitefield,NH,44.36752,-71.545765
119,OPR,GYX,KIZG,Eastern Slopes Regional Airport,Fryeburg,ME,43.99110031,-70.94789886
120,OPR,GYX,KIWI,Wiscasset Airport,Wiscasset,ME,43.96139908,-69.71260071
121,OPR,GYX,KMHT,Manchester-Boston Regional Airport,Manchester,NH,42.932598,-71.435699
122,OPR,GYX,KPWM,Portland International Jetport,Portland,ME,43.646198,-70.309303
123,OPR,GYX,K3B1,OPRville Municipal Airport,OPRville,ME,45.46300125,-69.5515976
124,OPR,ILM,KCRE,Grand Strand Airport,North Myrtle Beach,SC,33.81169891,-78.72389984
125,OPR,ILM,KFLO,Florence Regional Airport,Florence,SC,34.1853981,-79.72389984
126,OPR,ILM,KILM,Wilmington International Airport,Wilmington,NC,34.27059937,-77.90260315
127,OPR,ILM,KLBT,Lumberton Regional Airport,Lumberton,NC,34.610773,-79.05943
128,OPR,ILN,KCMH,John Glenn Columbus International Airport,Columbus,OH,39.998001,-82.891899
129,OPR,ILN,KCVG,Cincinnati Northern Kentucky International Airport,Cincinnati / Covington,KY,39.0478 ,-84.6667
130,OPR,ILN,KDAY,James M Cox Dayton International Airport,Dayton,OH,39.902401,-84.219398
131,OPR,ILN,KHAO,Butler Co Regional Airport - Hogan Field,Hamilton,OH,39.36380005,-84.52200317
